"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/29/23, 1:05:40 PM"


35
X,Y
-971.091,17.2455,
-917.100,17.2143,
-915.683,11.0551,
-916.454,1.33289,
-915.016,0.278809,
-913.277,-0.736690,
-909.628,-1.17011,
-905.018,-1.29301,
-902.640,-1.10124,
-901.874,-0.459222,
-898.174,2.30289,
-895.235,4.44247,
-891.983,6.65957,
-888.346,8.19419,
-885.130,9.28120,
-881.048,10.3476,
-874.070,11.3907,
-866.249,12.3354,
-858.490,13.0657,
-849.319,13.6579,
-841.650,14.0766,
-830.487,14.5297,
-818.778,14.8652,
-807.375,15.1427,
-792.495,15.3962,
-779.380,15.5740,
-765.388,15.7702,
-752.300,15.8506,
-737.448,16.0067,
-721.470,16.0444,
-699.659,16.1719,
-680.471,16.2639,
-661.311,16.2585,
-640.405,16.2703,
-600.037,16.3153,
