"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:13:13 PM"


28
X,Y
-235.068,3.76977,
-178.264,3.79695,
-177.862,3.73838,
-176.464,1.28424,
-173.456,0.0976712,
-172.235,-0.143981,
-169.879,-0.290289,
-168.738,-0.216922,
-166.446,-0.114146,
-163.755,-0.0552901,
-161.056,-0.0330644,
-159.523,0.0183593,
-158.076,0.406779,
-155.141,1.02245,
-150.268,1.61631,
-143.445,2.13710,
-135.019,2.43824,
-126.173,2.60755,
-111.530,2.77740,
-91.8712,2.97700,
-72.9718,3.12526,
-54.0742,3.28084,
-34.7715,3.36319,
-0.800000,3.51283,
29.7083,3.60354,
73.3582,3.68812,
104.264,3.73491,
137.110,3.75257,
