"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:09:32 PM"


30
X,Y
-999.517,3.78768,
-942.711,3.80753,
-941.858,3.49259,
-940.915,2.82599,
-940.125,1.24361,
-939.067,0.122799,
-936.925,-0.697537,
-933.415,-0.821760,
-929.560,-0.784776,
-925.695,-0.784423,
-923.367,-0.820840,
-922.633,-0.666923,
-920.079,-0.0732689,
-916.457,0.879466,
-911.179,1.40011,
-907.003,1.69354,
-900.493,1.92857,
-890.493,2.11997,
-878.177,2.31890,
-865.091,2.53256,
-850.835,2.70237,
-831.178,2.90930,
-803.410,3.13896,
-782.963,3.28003,
-757.486,3.39958,
-731.236,3.51920,
-709.988,3.55045,
-677.167,3.66335,
-648.961,3.68791,
-627.711,3.71183,
