"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:25:58 PM"


36
X,Y
0.100142,1.00778,
0.202228,0.994141,
0.300232,0.982939,
0.399598,0.973197,
0.402361,1.02575,
0.501727,1.01650,
0.500330,0.968808,
0.601069,0.974151,
0.601106,1.02233,
0.700484,1.02864,
0.696371,0.990200,
0.799841,1.00576,
1.49894,0.220778,
1.39409,0.173100,
1.49890,0.166764,
1.39677,0.117139,
1.49886,0.104963,
1.59824,0.117606,
2.50001,0.900973,
2.39793,0.932127,
2.49871,0.981752,
2.60217,0.993907,
2.49874,1.02798,
2.39802,1.04113,
3.49603,0.332993,
3.39530,0.339815,
3.49747,0.428857,
3.49624,0.606472,
3.59836,0.631766,
3.49771,0.741752,
4.49560,0.836545,
4.49428,0.890073,
4.39356,0.909061,
4.59231,0.915368,
4.49847,1.02827,
4.39774,1.04093,
