"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/29/23, 1:03:54 PM"


35
X,Y
-1737.01,18.4158,
-1684.77,18.3739,
-1681.49,18.3242,
-1682.26,9.59574,
-1680.62,1.21489,
-1679.36,0.531270,
-1677.49,-0.0167553,
-1674.66,-0.273740,
-1670.87,-0.220207,
-1669.31,0.147991,
-1667.35,0.924852,
-1664.50,2.75278,
-1662.86,4.38742,
-1659.97,6.35169,
-1657.09,8.29649,
-1653.63,10.2210,
-1648.50,11.9096,
-1642.62,13.1880,
-1636.88,13.9405,
-1631.18,14.5956,
-1625.51,15.1143,
-1618.42,15.5338,
-1610.76,15.9330,
-1600.79,16.2708,
-1590.53,16.6277,
-1579.14,16.8467,
-1566.29,17.1028,
-1552.30,17.3185,
-1538.34,17.3978,
-1524.95,17.4973,
-1498.77,17.6776,
-1478.15,17.7093,
-1454.04,17.7559,
-1409.33,17.7758,
-1365.19,17.7964,
