"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:48:11 PM"


25
X,Y
0.506184,1.04306,
0.506608,1.20893,
0.382069,1.23304,
0.503852,1.38080,
0.631810,1.44462,
0.504204,1.51869,
0.510175,2.60581,
1.50206,0.678359,
1.50556,0.800258,
1.50304,1.06205,
1.38166,1.07416,
1.50349,1.23991,
1.62769,1.08191,
2.50176,0.563451,
2.25984,0.911415,
2.38109,0.849344,
2.50246,0.837232,
2.62400,0.887071,
2.74865,0.906930,
2.50053,1.33284,
3.25691,1.01633,
3.37818,0.960258,
3.50247,0.838231,
3.49952,0.936156,
3.62103,0.976003,
