"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:47:13 PM"


36
X,Y
0.280410,1.06053,
0.280232,0.967729,
0.390990,1.03134,
0.394385,0.941184,
0.511817,0.763501,
0.505020,0.941154,
0.501579,1.00744,
0.509150,1.23282,
0.619405,1.03525,
0.615696,0.962337,
0.733528,0.992798,
0.733660,1.06174,
1.39208,0.113646,
1.39553,0.0526603,
1.50614,0.0380476,
1.50268,0.0963819,
1.62052,0.129495,
1.62041,0.0738128,
2.51020,0.663539,
2.50722,0.969790,
2.39306,0.996336,
2.50020,1.03078,
2.50039,1.13021,
2.61459,1.13018,
3.50131,0.125019,
3.50146,0.203238,
3.50179,0.375587,
3.50557,0.485624,
3.49497,0.537331,
3.49864,0.590361,
4.50175,0.722670,
4.49864,0.962633,
4.38445,0.969293,
4.61294,1.01298,
4.49524,1.05146,
4.49902,1.16415,
