"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:50:24 PM"


28
X,Y
0.502530,0.287238,
0.417107,0.411521,
0.511254,0.408492,
0.508538,0.508793,
0.505809,0.600111,
0.599970,0.607561,
0.505961,0.712387,
1.28682,0.0668838,
1.40089,0.0279189,
1.50646,0.0278794,
1.61204,0.0428099,
1.50370,0.101234,
1.50381,0.179078,
1.61223,0.183529,
2.50802,0.124810,
2.50527,0.201159,
2.50550,0.376308,
2.50280,0.484094,
2.41728,0.536521,
2.50294,0.588885,
3.22983,0.118552,
3.31826,0.105046,
3.41240,0.100519,
3.50369,0.0915033,
3.50381,0.182821,
3.59216,0.106440,
3.68345,0.106406,
3.77196,0.148289,
