"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:54:34 PM"


56
X,Y
0.127541,0.488658,
0.332151,0.564729,
0.325572,0.415914,
0.510379,0.491821,
0.507090,0.417414,
0.701798,0.493403,
0.860210,0.519506,
1.12754,0.472129,
1.31897,0.448917,
1.50708,0.475265,
1.69520,0.452027,
1.88662,0.478402,
2.12755,0.455600,
2.31896,0.481975,
2.50708,0.483530,
2.69850,0.485112,
2.88331,0.536226,
3.12424,0.488630,
3.30907,0.440571,
3.50049,0.442153,
3.69520,0.443762,
3.88332,0.470110,
4.12094,0.472074,
4.30906,0.473629,
4.50378,0.500031,
4.68200,0.476711,
4.88002,0.478347,
5.11765,0.455518,
5.30905,0.531480,
5.49718,0.483448,
5.68200,0.484975,
6.11763,0.538162,
6.30906,0.490158,
6.49717,0.516506,
6.68198,0.592413,
6.86680,0.618734,
7.12094,0.521661,
7.30576,0.498395,
7.49058,0.499922,
7.68530,0.501532,
7.87012,0.478266,
8.11398,2.95962,
8.29865,3.97768,
8.30550,2.26699,
8.49694,2.14460,
8.49009,3.83050,
8.67161,3.78241,
8.67508,2.66674,
8.86627,4.18071,
9.48873,13.0867,
9.49175,15.0206,
9.29685,16.2587,
9.48818,16.8553,
9.48787,18.9627,
9.48933,31.5578,
9.48110,42.6404,
